country,year,sex,age,suicides_no, population ,country-year, gdp_for_year ($) ,gdp_per_capita ($),generation
Ecuador,1990,female,55-74 years,3," 380,666 ",Ecuador1990,"15,23,92,78,100",1732,G.I. Generation
Ecuador,1990,male,5-14 years,6," 1,262,625 ",Ecuador1990,"15,23,92,78,100",1732,Generation X
Ecuador,1990,female,5-14 years,5," 1,225,466 ",Ecuador1990,"15,23,92,78,100",1732,Generation X
Ecuador,1991,female,15-24 years,117," 1,061,400 ",Ecuador1991,"16,98,85,35,268",1869,Generation X
Ecuador,1991,male,55-74 years,37," 368,900 ",Ecuador1991,"16,98,85,35,268",1869,Silent
Ecuador,1991,male,15-24 years,107," 1,087,300 ",Ecuador1991,"16,98,85,35,268",1869,Generation X
Ecuador,1991,male,35-54 years,83," 899,100 ",Ecuador1991,"16,98,85,35,268",1869,Boomers
Ecuador,1991,male,25-34 years,70," 804,000 ",Ecuador1991,"16,98,85,35,268",1869,Boomers
Ecuador,1991,male,75+ years,5," 68,100 ",Ecuador1991,"16,98,85,35,268",1869,G.I. Generation
Ecuador,1991,female,25-34 years,35," 792,300 ",Ecuador1991,"16,98,85,35,268",1869,Boomers
Ecuador,1991,female,55-74 years,9," 392,100 ",Ecuador1991,"16,98,85,35,268",1869,Silent
Ecuador,1991,female,35-54 years,18," 903,600 ",Ecuador1991,"16,98,85,35,268",1869,Boomers
Ecuador,1991,female,75+ years,1," 86,400 ",Ecuador1991,"16,98,85,35,268",1869,G.I. Generation
Ecuador,1991,female,5-14 years,9," 1,294,500 ",Ecuador1991,"16,98,85,35,268",1869,Millenials
Ecuador,1991,male,5-14 years,3," 1,334,000 ",Ecuador1991,"16,98,85,35,268",1869,Millenials
Ecuador,1992,male,75+ years,12," 77,846 ",Ecuador1992,"18,09,42,38,119",1955,G.I. Generation
Ecuador,1992,male,25-34 years,91," 833,688 ",Ecuador1992,"18,09,42,38,119",1955,Boomers
Ecuador,1992,male,55-74 years,40," 380,709 ",Ecuador1992,"18,09,42,38,119",1955,Silent
Ecuador,1992,male,15-24 years,114," 1,095,624 ",Ecuador1992,"18,09,42,38,119",1955,Generation X
Ecuador,1992,female,15-24 years,92," 1,071,397 ",Ecuador1992,"18,09,42,38,119",1955,Generation X
Ecuador,1992,male,35-54 years,69," 945,954 ",Ecuador1992,"18,09,42,38,119",1955,Boomers
Ecuador,1992,female,25-34 years,40," 825,399 ",Ecuador1992,"18,09,42,38,119",1955,Boomers
Ecuador,1992,female,75+ years,3," 95,162 ",Ecuador1992,"18,09,42,38,119",1955,G.I. Generation
Ecuador,1992,female,35-54 years,20," 954,268 ",Ecuador1992,"18,09,42,38,119",1955,Boomers
Ecuador,1992,female,5-14 years,13," 1,264,449 ",Ecuador1992,"18,09,42,38,119",1955,Millenials
Ecuador,1992,female,55-74 years,4," 404,377 ",Ecuador1992,"18,09,42,38,119",1955,Silent
Ecuador,1992,male,5-14 years,7," 1,304,282 ",Ecuador1992,"18,09,42,38,119",1955,Millenials
Ecuador,1993,female,15-24 years,131," 1,090,454 ",Ecuador1993,"18,93,87,17,359",1996,Generation X
Ecuador,1993,male,25-34 years,102," 857,646 ",Ecuador1993,"18,93,87,17,359",1996,Boomers
Ecuador,1993,male,55-74 years,46," 392,963 ",Ecuador1993,"18,93,87,17,359",1996,Silent
Ecuador,1993,male,15-24 years,105," 1,115,135 ",Ecuador1993,"18,93,87,17,359",1996,Generation X
Ecuador,1993,male,35-54 years,89," 981,892 ",Ecuador1993,"18,93,87,17,359",1996,Boomers
Ecuador,1993,female,25-34 years,40," 849,600 ",Ecuador1993,"18,93,87,17,359",1996,Boomers
Ecuador,1993,male,75+ years,3," 80,952 ",Ecuador1993,"18,93,87,17,359",1996,G.I. Generation
Ecuador,1993,female,35-54 years,32," 991,346 ",Ecuador1993,"18,93,87,17,359",1996,Boomers
Ecuador,1993,female,75+ years,2," 98,838 ",Ecuador1993,"18,93,87,17,359",1996,G.I. Generation
Ecuador,1993,female,55-74 years,8," 417,711 ",Ecuador1993,"18,93,87,17,359",1996,Silent
Ecuador,1993,female,5-14 years,9," 1,285,346 ",Ecuador1993,"18,93,87,17,359",1996,Millenials
Ecuador,1993,male,5-14 years,7," 1,326,600 ",Ecuador1993,"18,93,87,17,359",1996,Millenials
Ecuador,1994,male,75+ years,10," 83,900 ",Ecuador1994,"22,70,86,73,337",2335,G.I. Generation
Ecuador,1994,male,25-34 years,96," 881,672 ",Ecuador1994,"22,70,86,73,337",2335,Boomers
Ecuador,1994,male,35-54 years,96," 1,018,423 ",Ecuador1994,"22,70,86,73,337",2335,Boomers
Ecuador,1994,male,55-74 years,36," 406,131 ",Ecuador1994,"22,70,86,73,337",2335,Silent
Ecuador,1994,female,15-24 years,95," 1,108,840 ",Ecuador1994,"22,70,86,73,337",2335,Generation X
Ecuador,1994,male,15-24 years,91," 1,134,121 ",Ecuador1994,"22,70,86,73,337",2335,Generation X
Ecuador,1994,female,25-34 years,39," 873,910 ",Ecuador1994,"22,70,86,73,337",2335,Boomers
Ecuador,1994,female,35-54 years,21," 1,029,098 ",Ecuador1994,"22,70,86,73,337",2335,Boomers
Ecuador,1994,female,75+ years,1," 102,472 ",Ecuador1994,"22,70,86,73,337",2335,G.I. Generation
Ecuador,1994,female,5-14 years,12," 1,306,032 ",Ecuador1994,"22,70,86,73,337",2335,Millenials
Ecuador,1994,male,5-14 years,12," 1,348,611 ",Ecuador1994,"22,70,86,73,337",2335,Millenials
Ecuador,1994,female,55-74 years,3," 432,045 ",Ecuador1994,"22,70,86,73,337",2335,Silent
Ecuador,1995,male,25-34 years,97," 905,313 ",Ecuador1995,"24,43,28,84,442",2453,Generation X
Ecuador,1995,male,15-24 years,113," 1,152,675 ",Ecuador1995,"24,43,28,84,442",2453,Generation X
Ecuador,1995,male,55-74 years,41," 420,246 ",Ecuador1995,"24,43,28,84,442",2453,Silent
Ecuador,1995,male,35-54 years,101," 1,055,363 ",Ecuador1995,"24,43,28,84,442",2453,Boomers
Ecuador,1995,male,75+ years,8," 86,756 ",Ecuador1995,"24,43,28,84,442",2453,G.I. Generation
Ecuador,1995,female,15-24 years,95," 1,126,655 ",Ecuador1995,"24,43,28,84,442",2453,Generation X
Ecuador,1995,female,25-34 years,43," 897,847 ",Ecuador1995,"24,43,28,84,442",2453,Generation X
Ecuador,1995,female,35-54 years,24," 1,067,369 ",Ecuador1995,"24,43,28,84,442",2453,Boomers
Ecuador,1995,female,55-74 years,7," 447,404 ",Ecuador1995,"24,43,28,84,442",2453,Silent
Ecuador,1995,female,75+ years,1," 106,143 ",Ecuador1995,"24,43,28,84,442",2453,G.I. Generation
Ecuador,1995,female,5-14 years,10," 1,325,533 ",Ecuador1995,"24,43,28,84,442",2453,Millenials
Ecuador,1995,male,5-14 years,6," 1,369,259 ",Ecuador1995,"24,43,28,84,442",2453,Millenials
Ecuador,1996,male,55-74 years,53," 434,259 ",Ecuador1996,"25,22,63,93,197",2474,Silent
Ecuador,1996,male,75+ years,11," 91,455 ",Ecuador1996,"25,22,63,93,197",2474,G.I. Generation
Ecuador,1996,male,25-34 years,111," 927,403 ",Ecuador1996,"25,22,63,93,197",2474,Generation X
Ecuador,1996,male,15-24 years,126," 1,169,923 ",Ecuador1996,"25,22,63,93,197",2474,Generation X
Ecuador,1996,female,15-24 years,102," 1,143,710 ",Ecuador1996,"25,22,63,93,197",2474,Generation X
Ecuador,1996,male,35-54 years,88," 1,091,980 ",Ecuador1996,"25,22,63,93,197",2474,Boomers
Ecuador,1996,female,25-34 years,46," 920,330 ",Ecuador1996,"25,22,63,93,197",2474,Generation X
Ecuador,1996,female,55-74 years,9," 462,818 ",Ecuador1996,"25,22,63,93,197",2474,Silent
Ecuador,1996,female,35-54 years,21," 1,105,412 ",Ecuador1996,"25,22,63,93,197",2474,Boomers
Ecuador,1996,female,75+ years,2," 111,706 ",Ecuador1996,"25,22,63,93,197",2474,G.I. Generation
Ecuador,1996,female,5-14 years,17," 1,345,854 ",Ecuador1996,"25,22,63,93,197",2474,Millenials
Ecuador,1996,male,5-14 years,7," 1,390,998 ",Ecuador1996,"25,22,63,93,197",2474,Millenials
Ecuador,1997,male,25-34 years,109," 949,086 ",Ecuador1997,"28,16,20,53,027",2701,Generation X
Ecuador,1997,male,15-24 years,124," 1,186,873 ",Ecuador1997,"28,16,20,53,027",2701,Generation X
Ecuador,1997,male,75+ years,9," 95,968 ",Ecuador1997,"28,16,20,53,027",2701,G.I. Generation
Ecuador,1997,male,35-54 years,99," 1,128,260 ",Ecuador1997,"28,16,20,53,027",2701,Boomers
Ecuador,1997,female,15-24 years,101," 1,160,292 ",Ecuador1997,"28,16,20,53,027",2701,Generation X
Ecuador,1997,male,55-74 years,35," 449,276 ",Ecuador1997,"28,16,20,53,027",2701,Silent
Ecuador,1997,female,25-34 years,33," 942,471 ",Ecuador1997,"28,16,20,53,027",2701,Generation X
Ecuador,1997,female,35-54 years,24," 1,143,235 ",Ecuador1997,"28,16,20,53,027",2701,Boomers
Ecuador,1997,female,5-14 years,24," 1,364,640 ",Ecuador1997,"28,16,20,53,027",2701,Millenials
Ecuador,1997,female,55-74 years,6," 479,370 ",Ecuador1997,"28,16,20,53,027",2701,Silent
Ecuador,1997,male,5-14 years,14," 1,411,124 ",Ecuador1997,"28,16,20,53,027",2701,Millenials
Ecuador,1997,female,75+ years,1," 117,178 ",Ecuador1997,"28,16,20,53,027",2701,G.I. Generation
Ecuador,1998,male,25-34 years,113," 970,170 ",Ecuador1998,"27,98,18,96,948",2626,Generation X
Ecuador,1998,male,15-24 years,122," 1,204,061 ",Ecuador1998,"27,98,18,96,948",2626,Generation X
Ecuador,1998,female,15-24 years,102," 1,176,841 ",Ecuador1998,"27,98,18,96,948",2626,Generation X
Ecuador,1998,male,75+ years,8," 100,363 ",Ecuador1998,"27,98,18,96,948",2626,G.I. Generation
Ecuador,1998,male,35-54 years,87," 1,164,711 ",Ecuador1998,"27,98,18,96,948",2626,Boomers
Ecuador,1998,male,55-74 years,29," 464,944 ",Ecuador1998,"27,98,18,96,948",2626,Silent
Ecuador,1998,female,25-34 years,29," 964,037 ",Ecuador1998,"27,98,18,96,948",2626,Generation X
Ecuador,1998,female,75+ years,3," 122,653 ",Ecuador1998,"27,98,18,96,948",2626,G.I. Generation
Ecuador,1998,female,35-54 years,24," 1,181,335 ",Ecuador1998,"27,98,18,96,948",2626,Boomers
Ecuador,1998,male,5-14 years,14," 1,429,190 ",Ecuador1998,"27,98,18,96,948",2626,Millenials
Ecuador,1998,female,5-14 years,12," 1,381,485 ",Ecuador1998,"27,98,18,96,948",2626,Millenials
Ecuador,1998,female,55-74 years,3," 496,656 ",Ecuador1998,"27,98,18,96,948",2626,Silent
Ecuador,1999,male,75+ years,13," 104,728 ",Ecuador1999,"19,64,52,72,636",1805,G.I. Generation
Ecuador,1999,male,15-24 years,138," 1,222,195 ",Ecuador1999,"19,64,52,72,636",1805,Generation X
Ecuador,1999,male,25-34 years,103," 990,403 ",Ecuador1999,"19,64,52,72,636",1805,Generation X
Ecuador,1999,male,55-74 years,45," 480,747 ",Ecuador1999,"19,64,52,72,636",1805,Silent
Ecuador,1999,male,35-54 years,105," 1,202,249 ",Ecuador1999,"19,64,52,72,636",1805,Boomers
Ecuador,1999,female,15-24 years,96," 1,194,004 ",Ecuador1999,"19,64,52,72,636",1805,Generation X
Ecuador,1999,female,25-34 years,37," 984,732 ",Ecuador1999,"19,64,52,72,636",1805,Generation X
Ecuador,1999,female,35-54 years,27," 1,220,621 ",Ecuador1999,"19,64,52,72,636",1805,Boomers
Ecuador,1999,female,55-74 years,11," 514,092 ",Ecuador1999,"19,64,52,72,636",1805,Silent
Ecuador,1999,male,5-14 years,22," 1,445,034 ",Ecuador1999,"19,64,52,72,636",1805,Millenials
Ecuador,1999,female,5-14 years,18," 1,396,226 ",Ecuador1999,"19,64,52,72,636",1805,Millenials
Ecuador,1999,female,75+ years,1," 128,252 ",Ecuador1999,"19,64,52,72,636",1805,G.I. Generation
Ecuador,2000,male,15-24 years,132," 1,241,587 ",Ecuador2000,"18,32,77,64,882",1650,Generation X
Ecuador,2000,male,25-34 years,84," 1,009,657 ",Ecuador2000,"18,32,77,64,882",1650,Generation X
Ecuador,2000,male,35-54 years,101," 1,241,310 ",Ecuador2000,"18,32,77,64,882",1650,Boomers
Ecuador,2000,male,75+ years,8," 109,133 ",Ecuador2000,"18,32,77,64,882",1650,G.I. Generation
Ecuador,2000,male,55-74 years,30," 496,455 ",Ecuador2000,"18,32,77,64,882",1650,Silent
Ecuador,2000,female,15-24 years,73," 1,212,096 ",Ecuador2000,"18,32,77,64,882",1650,Generation X
Ecuador,2000,female,25-34 years,45," 1,004,357 ",Ecuador2000,"18,32,77,64,882",1650,Generation X
Ecuador,2000,female,35-54 years,23," 1,261,528 ",Ecuador2000,"18,32,77,64,882",1650,Boomers
Ecuador,2000,female,55-74 years,9," 531,381 ",Ecuador2000,"18,32,77,64,882",1650,Silent
Ecuador,2000,male,5-14 years,16," 1,458,807 ",Ecuador2000,"18,32,77,64,882",1650,Millenials
Ecuador,2000,female,5-14 years,12," 1,408,985 ",Ecuador2000,"18,32,77,64,882",1650,Millenials
Ecuador,2000,female,75+ years,1," 134,087 ",Ecuador2000,"18,32,77,64,882",1650,G.I. Generation
Ecuador,2001,male,75+ years,15," 114,564 ",Ecuador2001,"24,46,83,24,000",2160,Silent
Ecuador,2001,male,15-24 years,130," 1,259,528 ",Ecuador2001,"24,46,83,24,000",2160,Millenials
Ecuador,2001,male,25-34 years,101," 1,026,201 ",Ecuador2001,"24,46,83,24,000",2160,Generation X
Ecuador,2001,male,35-54 years,99," 1,281,560 ",Ecuador2001,"24,46,83,24,000",2160,Boomers
Ecuador,2001,male,55-74 years,39," 510,933 ",Ecuador2001,"24,46,83,24,000",2160,Silent
Ecuador,2001,female,15-24 years,86," 1,229,361 ",Ecuador2001,"24,46,83,24,000",2160,Millenials
Ecuador,2001,female,25-34 years,38," 1,021,003 ",Ecuador2001,"24,46,83,24,000",2160,Generation X
Ecuador,2001,female,35-54 years,32," 1,303,530 ",Ecuador2001,"24,46,83,24,000",2160,Boomers
Ecuador,2001,female,55-74 years,10," 547,445 ",Ecuador2001,"24,46,83,24,000",2160,Silent
Ecuador,2001,female,75+ years,2," 140,505 ",Ecuador2001,"24,46,83,24,000",2160,Silent
Ecuador,2001,female,5-14 years,17," 1,421,482 ",Ecuador2001,"24,46,83,24,000",2160,Millenials
Ecuador,2001,male,5-14 years,15," 1,472,216 ",Ecuador2001,"24,46,83,24,000",2160,Millenials
Ecuador,2002,male,15-24 years,132," 1,279,199 ",Ecuador2002,"28,54,89,45,000",2472,Millenials
Ecuador,2002,male,75+ years,12," 119,896 ",Ecuador2002,"28,54,89,45,000",2472,Silent
Ecuador,2002,male,25-34 years,89," 1,041,783 ",Ecuador2002,"28,54,89,45,000",2472,Generation X
Ecuador,2002,male,35-54 years,109," 1,323,268 ",Ecuador2002,"28,54,89,45,000",2472,Boomers
Ecuador,2002,male,55-74 years,39," 525,419 ",Ecuador2002,"28,54,89,45,000",2472,Silent
Ecuador,2002,female,15-24 years,91," 1,248,096 ",Ecuador2002,"28,54,89,45,000",2472,Millenials
Ecuador,2002,female,25-34 years,31," 1,036,659 ",Ecuador2002,"28,54,89,45,000",2472,Generation X
Ecuador,2002,female,35-54 years,27," 1,347,026 ",Ecuador2002,"28,54,89,45,000",2472,Boomers
Ecuador,2002,female,5-14 years,23," 1,432,629 ",Ecuador2002,"28,54,89,45,000",2472,Millenials
Ecuador,2002,female,55-74 years,7," 563,516 ",Ecuador2002,"28,54,89,45,000",2472,Silent
Ecuador,2002,male,5-14 years,16," 1,484,308 ",Ecuador2002,"28,54,89,45,000",2472,Millenials
Ecuador,2002,female,75+ years,1," 146,971 ",Ecuador2002,"28,54,89,45,000",2472,Silent
Ecuador,2003,male,35-54 years,148," 1,365,415 ",Ecuador2003,"32,43,28,58,000",2755,Boomers
Ecuador,2003,male,15-24 years,138," 1,300,272 ",Ecuador2003,"32,43,28,58,000",2755,Millenials
Ecuador,2003,female,15-24 years,120," 1,267,956 ",Ecuador2003,"32,43,28,58,000",2755,Millenials
Ecuador,2003,male,25-34 years,96," 1,056,829 ",Ecuador2003,"32,43,28,58,000",2755,Generation X
Ecuador,2003,male,55-74 years,49," 540,808 ",Ecuador2003,"32,43,28,58,000",2755,Silent
Ecuador,2003,male,75+ years,11," 125,204 ",Ecuador2003,"32,43,28,58,000",2755,Silent
Ecuador,2003,female,25-34 years,47," 1,051,741 ",Ecuador2003,"32,43,28,58,000",2755,Generation X
Ecuador,2003,female,75+ years,5," 153,579 ",Ecuador2003,"32,43,28,58,000",2755,Silent
Ecuador,2003,female,35-54 years,23," 1,390,993 ",Ecuador2003,"32,43,28,58,000",2755,Boomers
Ecuador,2003,female,5-14 years,20," 1,442,546 ",Ecuador2003,"32,43,28,58,000",2755,Millenials
Ecuador,2003,female,55-74 years,7," 580,521 ",Ecuador2003,"32,43,28,58,000",2755,Silent
Ecuador,2003,male,5-14 years,11," 1,495,138 ",Ecuador2003,"32,43,28,58,000",2755,Millenials
Ecuador,2004,male,75+ years,17," 130,553 ",Ecuador2004,"36,59,16,61,000",3051,Silent
Ecuador,2004,male,25-34 years,137," 1,071,828 ",Ecuador2004,"36,59,16,61,000",3051,Generation X
Ecuador,2004,male,15-24 years,165," 1,321,925 ",Ecuador2004,"36,59,16,61,000",3051,Millenials
Ecuador,2004,male,55-74 years,68," 558,388 ",Ecuador2004,"36,59,16,61,000",3051,Silent
Ecuador,2004,female,15-24 years,127," 1,288,166 ",Ecuador2004,"36,59,16,61,000",3051,Millenials
Ecuador,2004,male,35-54 years,138," 1,406,412 ",Ecuador2004,"36,59,16,61,000",3051,Boomers
Ecuador,2004,female,25-34 years,36," 1,066,713 ",Ecuador2004,"36,59,16,61,000",3051,Generation X
Ecuador,2004,female,75+ years,5," 160,427 ",Ecuador2004,"36,59,16,61,000",3051,Silent
Ecuador,2004,female,5-14 years,30," 1,451,359 ",Ecuador2004,"36,59,16,61,000",3051,Millenials
Ecuador,2004,male,5-14 years,30," 1,504,779 ",Ecuador2004,"36,59,16,61,000",3051,Millenials
Ecuador,2004,female,35-54 years,27," 1,433,784 ",Ecuador2004,"36,59,16,61,000",3051,Boomers
Ecuador,2004,female,55-74 years,11," 599,819 ",Ecuador2004,"36,59,16,61,000",3051,Silent
Ecuador,2005,male,75+ years,23," 136,021 ",Ecuador2005,"41,50,70,85,000",3397,Silent
Ecuador,2005,male,15-24 years,206," 1,343,527 ",Ecuador2005,"41,50,70,85,000",3397,Millenials
Ecuador,2005,male,25-34 years,150," 1,087,218 ",Ecuador2005,"41,50,70,85,000",3397,Generation X
Ecuador,2005,male,35-54 years,197," 1,445,306 ",Ecuador2005,"41,50,70,85,000",3397,Boomers
Ecuador,2005,male,55-74 years,73," 578,971 ",Ecuador2005,"41,50,70,85,000",3397,Silent
Ecuador,2005,female,15-24 years,140," 1,308,175 ",Ecuador2005,"41,50,70,85,000",3397,Millenials
Ecuador,2005,female,25-34 years,44," 1,081,983 ",Ecuador2005,"41,50,70,85,000",3397,Generation X
Ecuador,2005,female,35-54 years,35," 1,474,429 ",Ecuador2005,"41,50,70,85,000",3397,Boomers
Ecuador,2005,male,5-14 years,34," 1,513,146 ",Ecuador2005,"41,50,70,85,000",3397,Millenials
Ecuador,2005,female,55-74 years,13," 622,240 ",Ecuador2005,"41,50,70,85,000",3397,Silent
Ecuador,2005,female,5-14 years,26," 1,458,992 ",Ecuador2005,"41,50,70,85,000",3397,Millenials
Ecuador,2005,female,75+ years,2," 167,635 ",Ecuador2005,"41,50,70,85,000",3397,Silent
Ecuador,2006,male,75+ years,23," 140,891 ",Ecuador2006,"46,80,20,44,000",3759,Silent
Ecuador,2006,male,25-34 years,154," 1,105,682 ",Ecuador2006,"46,80,20,44,000",3759,Generation X
Ecuador,2006,male,55-74 years,74," 601,278 ",Ecuador2006,"46,80,20,44,000",3759,Silent
Ecuador,2006,female,15-24 years,153," 1,327,824 ",Ecuador2006,"46,80,20,44,000",3759,Millenials
Ecuador,2006,male,15-24 years,156," 1,363,891 ",Ecuador2006,"46,80,20,44,000",3759,Millenials
Ecuador,2006,male,35-54 years,166," 1,486,091 ",Ecuador2006,"46,80,20,44,000",3759,Boomers
Ecuador,2006,female,25-34 years,49," 1,100,246 ",Ecuador2006,"46,80,20,44,000",3759,Generation X
Ecuador,2006,female,35-54 years,46," 1,516,824 ",Ecuador2006,"46,80,20,44,000",3759,Boomers
Ecuador,2006,female,55-74 years,18," 646,356 ",Ecuador2006,"46,80,20,44,000",3759,Silent
Ecuador,2006,female,75+ years,4," 173,865 ",Ecuador2006,"46,80,20,44,000",3759,Silent
Ecuador,2006,female,5-14 years,28," 1,465,783 ",Ecuador2006,"46,80,20,44,000",3759,Millenials
Ecuador,2006,male,5-14 years,29," 1,520,643 ",Ecuador2006,"46,80,20,44,000",3759,Millenials
Ecuador,2007,male,15-24 years,235," 1,383,302 ",Ecuador2007,"51,00,77,77,000",4024,Millenials
Ecuador,2007,male,55-74 years,92," 626,501 ",Ecuador2007,"51,00,77,77,000",4024,Silent
Ecuador,2007,male,25-34 years,157," 1,123,771 ",Ecuador2007,"51,00,77,77,000",4024,Generation X
Ecuador,2007,male,75+ years,18," 145,654 ",Ecuador2007,"51,00,77,77,000",4024,Silent
Ecuador,2007,male,35-54 years,184," 1,525,177 ",Ecuador2007,"51,00,77,77,000",4024,Boomers
Ecuador,2007,female,15-24 years,135," 1,346,416 ",Ecuador2007,"51,00,77,77,000",4024,Millenials
Ecuador,2007,female,25-34 years,53," 1,118,153 ",Ecuador2007,"51,00,77,77,000",4024,Generation X
Ecuador,2007,male,5-14 years,45," 1,526,432 ",Ecuador2007,"51,00,77,77,000",4024,Generation Z
Ecuador,2007,female,55-74 years,19," 673,563 ",Ecuador2007,"51,00,77,77,000",4024,Silent
Ecuador,2007,female,35-54 years,42," 1,557,413 ",Ecuador2007,"51,00,77,77,000",4024,Boomers
Ecuador,2007,female,5-14 years,23," 1,470,813 ",Ecuador2007,"51,00,77,77,000",4024,Generation Z
Ecuador,2007,female,75+ years,2," 180,159 ",Ecuador2007,"51,00,77,77,000",4024,Silent
Ecuador,2008,male,75+ years,31," 150,423 ",Ecuador2008,"61,76,26,35,000",4787,Silent
Ecuador,2008,male,15-24 years,209," 1,401,816 ",Ecuador2008,"61,76,26,35,000",4787,Millenials
Ecuador,2008,male,25-34 years,170," 1,142,009 ",Ecuador2008,"61,76,26,35,000",4787,Generation X
Ecuador,2008,male,55-74 years,81," 654,092 ",Ecuador2008,"61,76,26,35,000",4787,Silent
Ecuador,2008,male,35-54 years,158," 1,563,128 ",Ecuador2008,"61,76,26,35,000",4787,Boomers
Ecuador,2008,female,15-24 years,107," 1,363,932 ",Ecuador2008,"61,76,26,35,000",4787,Millenials
Ecuador,2008,female,25-34 years,48," 1,136,196 ",Ecuador2008,"61,76,26,35,000",4787,Generation X
Ecuador,2008,female,55-74 years,24," 703,291 ",Ecuador2008,"61,76,26,35,000",4787,Silent
Ecuador,2008,female,35-54 years,53," 1,596,786 ",Ecuador2008,"61,76,26,35,000",4787,Boomers
Ecuador,2008,male,5-14 years,24," 1,530,626 ",Ecuador2008,"61,76,26,35,000",4787,Generation Z
Ecuador,2008,female,5-14 years,22," 1,474,229 ",Ecuador2008,"61,76,26,35,000",4787,Generation Z
Ecuador,2008,female,75+ years,1," 186,655 ",Ecuador2008,"61,76,26,35,000",4787,Silent
Ecuador,2009,male,25-34 years,179," 1,161,180 ",Ecuador2009,"62,51,96,86,000",4762,Generation X
Ecuador,2009,male,55-74 years,103," 683,190 ",Ecuador2009,"62,51,96,86,000",4762,Silent
Ecuador,2009,male,15-24 years,214," 1,419,517 ",Ecuador2009,"62,51,96,86,000",4762,Millenials
Ecuador,2009,male,75+ years,20," 155,307 ",Ecuador2009,"62,51,96,86,000",4762,Silent
Ecuador,2009,male,35-54 years,180," 1,600,987 ",Ecuador2009,"62,51,96,86,000",4762,Boomers
Ecuador,2009,female,15-24 years,100," 1,380,435 ",Ecuador2009,"62,51,96,86,000",4762,Millenials
Ecuador,2009,female,75+ years,9," 193,481 ",Ecuador2009,"62,51,96,86,000",4762,Silent
Ecuador,2009,female,25-34 years,48," 1,155,088 ",Ecuador2009,"62,51,96,86,000",4762,Generation X
Ecuador,2009,female,35-54 years,48," 1,636,049 ",Ecuador2009,"62,51,96,86,000",4762,Boomers
Ecuador,2009,female,55-74 years,20," 734,615 ",Ecuador2009,"62,51,96,86,000",4762,Silent
Ecuador,2009,male,5-14 years,23," 1,533,769 ",Ecuador2009,"62,51,96,86,000",4762,Generation Z
Ecuador,2009,female,5-14 years,20," 1,476,543 ",Ecuador2009,"62,51,96,86,000",4762,Generation Z
Ecuador,2010,male,15-24 years,214," 1,436,267 ",Ecuador2010,"69,55,53,67,000",5206,Millenials
Ecuador,2010,male,25-34 years,171," 1,181,648 ",Ecuador2010,"69,55,53,67,000",5206,Generation X
Ecuador,2010,male,35-54 years,165," 1,639,225 ",Ecuador2010,"69,55,53,67,000",5206,Generation X
Ecuador,2010,male,55-74 years,68," 713,198 ",Ecuador2010,"69,55,53,67,000",5206,Silent
Ecuador,2010,male,75+ years,14," 160,404 ",Ecuador2010,"69,55,53,67,000",5206,Silent
Ecuador,2010,female,15-24 years,113," 1,395,797 ",Ecuador2010,"69,55,53,67,000",5206,Millenials
Ecuador,2010,female,25-34 years,60," 1,175,139 ",Ecuador2010,"69,55,53,67,000",5206,Generation X
Ecuador,2010,female,75+ years,6," 200,768 ",Ecuador2010,"69,55,53,67,000",5206,Silent
Ecuador,2010,female,55-74 years,18," 766,861 ",Ecuador2010,"69,55,53,67,000",5206,Silent
Ecuador,2010,female,35-54 years,39," 1,675,740 ",Ecuador2010,"69,55,53,67,000",5206,Generation X
Ecuador,2010,male,5-14 years,26," 1,536,680 ",Ecuador2010,"69,55,53,67,000",5206,Generation Z
Ecuador,2010,female,5-14 years,18," 1,478,558 ",Ecuador2010,"69,55,53,67,000",5206,Generation Z
Ecuador,2011,male,15-24 years,200," 1,449,571 ",Ecuador2011,"79,27,66,64,000",5836,Millenials
Ecuador,2011,male,25-34 years,161," 1,202,963 ",Ecuador2011,"79,27,66,64,000",5836,Millenials
Ecuador,2011,male,55-74 years,83," 741,610 ",Ecuador2011,"79,27,66,64,000",5836,Boomers
Ecuador,2011,male,75+ years,18," 166,244 ",Ecuador2011,"79,27,66,64,000",5836,Silent
Ecuador,2011,male,35-54 years,160," 1,677,115 ",Ecuador2011,"79,27,66,64,000",5836,Generation X
Ecuador,2011,female,15-24 years,120," 1,408,696 ",Ecuador2011,"79,27,66,64,000",5836,Millenials
Ecuador,2011,female,25-34 years,51," 1,195,816 ",Ecuador2011,"79,27,66,64,000",5836,Millenials
Ecuador,2011,female,35-54 years,45," 1,715,068 ",Ecuador2011,"79,27,66,64,000",5836,Generation X
Ecuador,2011,female,5-14 years,32," 1,480,934 ",Ecuador2011,"79,27,66,64,000",5836,Generation Z
Ecuador,2011,male,5-14 years,32," 1,539,867 ",Ecuador2011,"79,27,66,64,000",5836,Generation Z
Ecuador,2011,female,75+ years,4," 208,097 ",Ecuador2011,"79,27,66,64,000",5836,Silent
Ecuador,2011,female,55-74 years,12," 797,572 ",Ecuador2011,"79,27,66,64,000",5836,Boomers
Ecuador,2012,male,15-24 years,240," 1,462,193 ",Ecuador2012,"87,92,45,44,000",6364,Millenials
Ecuador,2012,male,25-34 years,164," 1,225,594 ",Ecuador2012,"87,92,45,44,000",6364,Millenials
Ecuador,2012,male,55-74 years,87," 771,426 ",Ecuador2012,"87,92,45,44,000",6364,Boomers
